Manifest,Status,Origin Lane,Dest Lane,Origin-Dest Lane,RTB Date,RTB Time,Weight
00054146057,U,VA228,WI549,ROCKINGHAM VA-APPLETON WI,05/16/2022,10:35,00000
00106483810,U,MD217,IN461,HAGERSTOWN MD-PLAINFIELD IN,05/17/2022,10:00,00335
00106494201,U,VA228,NJ088,ROCKINGHAM VA-EAST BRUNSWICK NJ,05/17/2022,08:00,00050
00106494383,U,VA228,GA306,ROCKINGHAM VA-WINDER GA,05/17/2022,05:00,00130
00106494395,U,PA166,IL604,WILLIAMSBURG PA-PALOS HILLS IL,05/17/2022,09:00,00290
00106494644,U,WI541,IA503,DE PERE WI-DES MOINES IA,05/18/2022,14:00,00000
00106494649,U,VA228,IL604,ROCKINGHAM VA-ROMEOVILLE IL,05/17/2022,18:00,00150
