Carrier Code,Status,Name,Scac,Carrier Type,Type Description,Type Group
RM1130481,X,PROFESSIONAL TRUCKING LLC,V319,CON,CONTRACT FLEET,Trucklo
RM1130522,A,BIG APPLE TRANSPORT LLC,A059,CON,CONTRACT FLEET,Trucklo
RM1130557,A,AUTHENTIC FB LLC,0833,CON,CONTRACT FLEET,Trucklo
RM1130578,X,DARREN R. FOX,N608,CON,CONTRACT FLEET,Trucklo
RM1130603,X,PROVINCE TRANSPORT LLC,N057,CON,CONTRACT FLEET,Trucklo
RM1130632,X,JK TRUCKING INC,M761,CON,CONTRACT FLEET,Trucklo
RM1130643,A,LUCKY 2 TRANSPORTATION LLC,B344,CON,CONTRACT FLEET,Trucklo
RM113106,X,V K TRANSPORT LLC,A090,CON,CONTRACT FLEET,Trucklo
RM1131254,A,ZEUS XPRESS LOGISTICS DFW-TRAN,U089,CON,CONTRACT FLEET,Trucklo
RM1131278,X,GR CARRIER SERVICES LLC,S107,CON,CONTRACT FLEET,Trucklo
RM1131300,X,LIBERTY TRANSPORTATION,LBTT,CON,CONTRACT FLEET,Trucklo
RM113132,X,JLM TRUCKING,VOID,CON,CONTRACT FLEET,Trucklo
RM1131372,A,TRANSBAY XPRESS INC,S588,CON,CONTRACT FLEET,Trucklo
RM1131379,X,JIFFTI TRANSPORTATION LLC,S520,CON,CONTRACT FLEET,Trucklo
RM1131389,X,MK TRANSPORT FL INC,V271,CON,CONTRACT FLEET,Trucklo
RM1131417,A,TAURUS EXPRESS INC,C168,CON,CONTRACT FLEET,Trucklo
RM1131429,X,SAW-RAJ TRANSLINK INC,0540,CON,CONTRACT FLEET,Trucklo
RM1131443,X,RTA TRUCKING LLC,U401,CON,CONTRACT FLEET,Trucklo
RM1131448,X,SOLY LANDLINE LLC,N309,CON,CONTRACT FLEET,Trucklo
RM1131456,A,MEDUSA TRANSPORTS,N103,CON,CONTRACT FLEET,Trucklo
RM113206,X,REK EXPRESS INC,REKI,CON,CONTRACT FLEET,Trucklo
RM1132291,X,STEP IT UP LOGISTICS INC,N595,CON,CONTRACT FLEET,Trucklo
RM1132392,X,SUNOVA LLC,M204,CON,CONTRACT FLEET,Trucklo
RM113245,A,T and N EXPRESS- INC.,8939,CON,CONTRACT FLEET,Trucklo
RM1132457,X,R L MORRIS TRUCKING LLC,U059,CON,CONTRACT FLEET,Trucklo
RM1132512,X,ADVANCED TRUCKING SYSTEMS LLC,U924,CON,CONTRACT FLEET,Trucklo
RM1132522,X,4 D TRANSPORTATION LLC,U817,CON,CONTRACT FLEET,Trucklo
RM1132535,X,EB INFINITY INC,K303,CON,CONTRACT FLEET,Trucklo
RM1132567,X,MBD LOGISTICS INC,U621,CON,CONTRACT FLEET,Trucklo
RM1132573,X,SHAHI EXPRESS CORPORATION,M132,CON,CONTRACT FLEET,Trucklo
RM1132574,X,ROAD WARRIOR TRANSPORTS LLC,M036,CON,CONTRACT FLEET,Trucklo
RM1132583,X,PALITOV INC,N894,CON,CONTRACT FLEET,Trucklo
RM1133502,X,JDA HAULING LLC,U205,CON,CONTRACT FLEET,Trucklo
RM1133619,X,CHEEMA LOGISTICS INC,V288,CON,CONTRACT FLEET,Trucklo
RM1133654,A,KR CARRIERS LLC,0729,CON,CONTRACT FLEET,Trucklo
RM1133656,X,Z and J XPRESS LLC,U516,CON,CONTRACT FLEET,Trucklo
RM1133659,X,HOLD THE WHEEL TRANSPORTATION,M507,CON,CONTRACT FLEET,Trucklo
RM1133674,A,JAGUAR ENTERPRISE INC,M977,CON,CONTRACT FLEET,Trucklo
RM1133774,X,DOVE TRANSPORTATION SERVICES,7169,CON,CONTRACT FLEET,Trucklo
RM113492,X,ROMAX LLC,V030,CON,CONTRACT FLEET,Trucklo
RM1135586,X,AMAHTRUCKING LLC,U636,CON,CONTRACT FLEET,Trucklo
RM1135591,X,3D LOGISTICS INC,N658,CON,CONTRACT FLEET,Trucklo
RM1135921,X,ALL FREIGHT CARE INC,M176,CON,CONTRACT FLEET,Trucklo
RM1135983,X,TOP TRANSPORTATION CORP,M078,CON,CONTRACT FLEET,Trucklo
RM1136022,X,FIRST NILE TRUCKING LLC,U796,CON,CONTRACT FLEET,Trucklo
RM1136070,X,MALONAS EXPRESS LLC,2053,CON,CONTRACT FLEET,Trucklo
RM1136103,X,NOVIK LLC,S699,CON,CONTRACT FLEET,Trucklo
RM1136137,X,MARKET TRANSPORT,S436,CON,CONTRACT FLEET,Trucklo
RM1136144,A,ARGAYU 4 EVER TRUCKING CORP,U922,CON,CONTRACT FLEET,Trucklo
RM1136165,A,D VALDES LOGISTICS LLC,0457,CON,CONTRACT FLEET,Trucklo
RM1136193,A,DJP TRUCKING LLC,L934,CON,CONTRACT FLEET,Trucklo
RM1136264,A,ALPHA SHIPPING LLC,V002,CON,CONTRACT FLEET,Trucklo
RM1136379,A,JK TRUCKING,V489,CON,CONTRACT FLEET,Trucklo
RM1136411,X,PFR TRANSPORT CORP,N005,CON,CONTRACT FLEET,Trucklo
RM1136418,X,YELLOW CITY LOGISTICS LLC,U714,CON,CONTRACT FLEET,Trucklo
RM1136420,X,NR TRANS LLC,V104,CON,CONTRACT FLEET,Trucklo
RM1136459,A,GREAT LAKES CARGO INC,M345,CON,CONTRACT FLEET,Trucklo
RM1137497,X,AAA5 INC,L925,CON,CONTRACT FLEET,Trucklo
RM1137499,X,I AND A TRANSPORTATION LLC,M795,CON,CONTRACT FLEET,Trucklo
RM1137523,A,KUDUS TRUCKING LLC,U981,CON,CONTRACT FLEET,Trucklo
RM1137549,X,DOUBLE DIAMOND TRANSPORT LLC,M523,CON,CONTRACT FLEET,Trucklo
RM1137550,X,HM DANNY EXPRESS INC,M092,CON,CONTRACT FLEET,Trucklo
RM1137562,X,JACOBS TRANSPORTATION LLC,M474,CON,CONTRACT FLEET,Trucklo
RM1137563,X,LEO TRUCKING,M801,CON,CONTRACT FLEET,Trucklo
RM1137643,A,US NATIONWIDE TRUCKING LLC,U833,CON,CONTRACT FLEET,Trucklo
RM113805,A,DA LOGISTICS INC,2224,CON,CONTRACT FLEET,Trucklo
RM1138615,X,EXCELLENCE CARGO INC,N659,CON,CONTRACT FLEET,Trucklo
RM1138620,X,AMERICAN EXPEDITE LLC,M806,CON,CONTRACT FLEET,Trucklo
RM1138628,A,INTEGRAL EXPRESS INC,2527,CON,CONTRACT FLEET,Trucklo
RM1138629,X,MARS US TRUCKING INC,L885,CON,CONTRACT FLEET,Trucklo
RM1138640,X,ODIS TRUCKING LLC,M496,CON,CONTRACT FLEET,Trucklo
RM1138644,X,PIN POINT LOGISTICS INC,9135,CON,CONTRACT FLEET,Trucklo
RM1138690,X,JNC TRANSPORTATION LLC,M386,CON,CONTRACT FLEET,Trucklo
RM1138701,X,A. CARLISLE GROUP LLC,L942,CON,CONTRACT FLEET,Trucklo
RM113871,X,KEYSTONE EXPRESS,U107,CON,CONTRACT FLEET,Trucklo
RM1138737,X,JDOT TRUCKING LLC,3706,CON,CONTRACT FLEET,Trucklo
RM1138748,X,J FOUNTAIN LLC,M163,CON,CONTRACT FLEET,Trucklo
RM1138783,X,BDB,V388,CON,CONTRACT FLEET,Trucklo
RM1138797,X,DAMITRANS CORP,N582,CON,CONTRACT FLEET,Trucklo
RM113893,X,TAYLOR HEAVY HAULING,THHI,CON,CONTRACT FLEET,Trucklo
RM113908,X,WILLIAM B DURHAM,3492,CON,CONTRACT FLEET,Trucklo
RM113910,A,BALLIA BROS. INC.,1168,CON,CONTRACT FLEET,Trucklo
RM1139108,X,FATEH TRANSPORT INC,N965,CON,CONTRACT FLEET,Trucklo
RM1139110,X,DEL VALLE TRANSPORT LLC,S054,CON,CONTRACT FLEET,Trucklo
RM113929,X,BMI EXPRESS,K598,CON,CONTRACT FLEET,Trucklo
RM1139387,A,ARMSTRONG TRANSPORTATION SERVI,B972,CON,CONTRACT FLEET,Trucklo
RM1139492,A,BAKSH EXPRESS CORPORATION,B352,CON,CONTRACT FLEET,Trucklo
RM1139521,X,NA TRANSPORT INC,S989,CON,CONTRACT FLEET,Trucklo
RM1139567,X,KORE LOGISTICS LLC,A798,CON,CONTRACT FLEET,Trucklo
RM1139569,A,LEONARDO TRANSPORTATION- INC,M520,CON,CONTRACT FLEET,Trucklo
RM1139582,X,G and J EXPRESS LLC,S676,CON,CONTRACT FLEET,Trucklo
RM1139595,A,T and A TRANSPORTATION INC,7441,CON,CONTRACT FLEET,Trucklo
RM1139644,X,DMAX LINE INC,U535,CON,CONTRACT FLEET,Trucklo
RM113968,A,DPW INC.,N553,CON,CONTRACT FLEET,Trucklo
RM1140497,X,DISPATCH R TRUCKS LLC,U947,CON,CONTRACT FLEET,Trucklo
RM1140660,X,FRAIZE TRUCKING,L980,CON,CONTRACT FLEET,Trucklo
RM1140703,X,HIGHWAY CHEETAH,L933,CON,CONTRACT FLEET,Trucklo
RM1140706,X,RAJA EXPRESS LLC,RAJA,CON,CONTRACT FLEET,Trucklo
RM1140708,A,B and J HAMRICK TRANSPORT,V180,CON,CONTRACT FLEET,Trucklo
RM1140715,A,LEGACY LOGISTICS LLC,S991,CON,CONTRACT FLEET,Trucklo
RM1140718,X,MV TRANSPORT,M488,CON,CONTRACT FLEET,Trucklo
RM1140901,X,EPKAM LLC,A240,CON,CONTRACT FLEET,Trucklo
RM114174,X,STEVEN and SIMON TRANSPORTATIO,0890,CON,CONTRACT FLEET,Trucklo
RM1142058,X,LOBOS EXPRESS,V460,CON,CONTRACT FLEET,Trucklo
RM1142064,X,NUTWORK TRANSPORTATION,V138,CON,CONTRACT FLEET,Trucklo
RM1142066,A,NAHAL EXPRESS INC,7923,CON,CONTRACT FLEET,Trucklo
RM114238,X,MCGUIRE TRUCKING- INC.,T812,CON,CONTRACT FLEET,Trucklo
RM114253,A,INLAND TRUCKING INC,INXI,CON,CONTRACT FLEET,Trucklo
RM1143277,X,AGS TRANS INC,S711,CON,CONTRACT FLEET,Trucklo
RM1143310,A,JUAN TRANSPORTATION LLC,2528,CON,CONTRACT FLEET,Trucklo
RM1143312,X,OUT OF POCKET TRUCKING,U724,CON,CONTRACT FLEET,Trucklo
RM1143313,X,TOUCHDOWN LOGISTICS LLC,U125,CON,CONTRACT FLEET,Trucklo
RM1143318,X,D and D US TRANS INC,0610,CON,CONTRACT FLEET,Trucklo
RM1143358,X,GUATECOL LLC,A103,CON,CONTRACT FLEET,Trucklo
RM1143369,X,GCT EXPRESS INC,N001,CON,CONTRACT FLEET,Trucklo
RM1143402,X,AH TRANS INC,M802,CON,CONTRACT FLEET,Trucklo
RM1143418,X,SRT EXPRESS INC,L957,CON,CONTRACT FLEET,Trucklo
RM1143438,X,MVM EXPRESS,V016,CON,CONTRACT FLEET,Trucklo
RM1143454,X,R CAVALIER TRUCKING LLC,U511,CON,CONTRACT FLEET,Trucklo
RM1143492,X,ROACH TRANSPORTATION LLC,L964,CON,CONTRACT FLEET,Trucklo
RM1143821,X,ALM TRUCKING,U010,CON,CONTRACT FLEET,Trucklo
RM1143828,X,FOLI S TRANSPORTATION LLC,M230,CON,CONTRACT FLEET,Trucklo
RM1144145,A,DIN LINE INC,C271,CON,CONTRACT FLEET,Trucklo
RM1144152,A,DE TRANSPORTATION LLC,7910,CON,CONTRACT FLEET,Trucklo
RM1144210,X,2 DIAMONDS - HAULAGE AND TRANS,U722,CON,CONTRACT FLEET,Trucklo
RM1144232,X,MK EXPRESS LINES INC,N335,CON,CONTRACT FLEET,Trucklo
RM1144591,X,BELTRES TRUCKING LLC,5785,CON,CONTRACT FLEET,Trucklo
RM1144703,X,FNDIAZ TRANSPORT,U907,CON,CONTRACT FLEET,Trucklo
RM1144923,A,A and T CARRIERS INC,1531,CON,CONTRACT FLEET,Trucklo
RM1145007,A,K CROOM TRUCKING,7901,CON,CONTRACT FLEET,Trucklo
RM114526,X,POLAR FREIGHT INC,S280,CON,CONTRACT FLEET,Trucklo
RM1145516,A,BROADWAY CARGO INC,M813,CON,CONTRACT FLEET,Trucklo
RM1145736,A,GOLDLINE CARRIERS INC,A724,CON,CONTRACT FLEET,Trucklo
RM1145770,A,SMG TRUCK LINE INC,U641,CON,CONTRACT FLEET,Trucklo
RM1145791,X,FONG LOGISTICS INC,S918,CON,CONTRACT FLEET,Trucklo
RM1145803,X,SUMMIT TRANSPORT INC,S190,CON,CONTRACT FLEET,Trucklo
RM114584,X,JB TRUCKING,J249,CON,CONTRACT FLEET,Trucklo
RM1145852,X,Y E TRUCKING LLC,YETL,CON,CONTRACT FLEET,Trucklo
RM1145868,X,BGAUVI TRANSPORT LLC,M175,CON,CONTRACT FLEET,Trucklo
RM1145872,X,ISH TRANS,M162,CON,CONTRACT FLEET,Trucklo
RM1146286,X,DTT TRANSPORT,7496,CON,CONTRACT FLEET,Trucklo
RM114635,X,UNITED EXPRESS LLC,J544,CON,CONTRACT FLEET,Trucklo
RM114647,X,G C TRUCKING,E962,CON,CONTRACT FLEET,Trucklo
RM1146951,A,NMS TRUCKING CO,M502,CON,CONTRACT FLEET,Trucklo
RM1146981,X,SPATIAL CROSS INC,V077,CON,CONTRACT FLEET,Trucklo
RM1146991,A,TRELLWAY EXPRESS- LLC,A424,CON,CONTRACT FLEET,Trucklo
RM1147000,A,IB FREIGHT INC,S832,CON,CONTRACT FLEET,Trucklo
RM1147020,X,FASTEX LOGISTICS INC,M362,CON,CONTRACT FLEET,Trucklo
RM1147027,A,EAGLE WINGS EXPRESS INC,M299,CON,CONTRACT FLEET,Trucklo
RM1147047,X,KOTARSKI AND SONS TRUCKING LLC,N350,CON,CONTRACT FLEET,Trucklo
RM1147056,X,D and V TRANSPORTATION INC,M541,CON,CONTRACT FLEET,Trucklo
RM1147310,X,HORTON S ASAP ENTERPRISES LLC,S036,CON,CONTRACT FLEET,Trucklo
RM1147426,X,K B TRANSPORTATION LLC,S192,CON,CONTRACT FLEET,Trucklo
RM1148117,A,SOCCER LOGISTICS LLC,2543,CON,CONTRACT FLEET,Trucklo
RM1148138,X,MMA LOGISTICS INC,U700,CON,CONTRACT FLEET,Trucklo
RM1148163,A,STAR TRUCKING LLC,9954,CON,CONTRACT FLEET,Trucklo
RM1148256,X,GEWEL TRANSPORT LLC,L997,CON,CONTRACT FLEET,Trucklo
RM114835,X,NINA TRANSPORT INC,K277,CON,CONTRACT FLEET,Trucklo
RM1148394,X,AUGUSTUS ENTERPRISES LLC,U959,CON,CONTRACT FLEET,Trucklo
RM1148476,X,GILBERT S DIVERSIFIED TRANS,U845,CON,CONTRACT FLEET,Trucklo
RM1148554,X,BAAZ LOGISTICS INC,N905,CON,CONTRACT FLEET,Trucklo
RM1148697,X,DIL CARRIER INC,M604,CON,CONTRACT FLEET,Trucklo
RM1148818,X,T.C.K TRUCKING CORP,N198,CON,CONTRACT FLEET,Trucklo
RM114888,X,TES LOGISTICS- LP,TESB,CON,CONTRACT FLEET,Trucklo
RM11491,X,PITT OHIO EXPRESS,PITD,CON,CONTRACT FLEET,Trucklo
RM1149223,X,CAMEROON EXPRESS LLC,S793,CON,CONTRACT FLEET,Trucklo
RM1149828,A,GOLDEN GATE TRANSPORT- LLC,V107,CON,CONTRACT FLEET,Trucklo
RM1149844,X,SHELLZ LOGISTICS- LLC,N916,CON,CONTRACT FLEET,Trucklo
RM1149846,A,BHOGAL TRANSPORT INC.,C338,CON,CONTRACT FLEET,Trucklo
RM1150357,X,BURNS LOGISTICS INC,M008,CON,CONTRACT FLEET,Trucklo
RM1150449,A,HSC FREIGHT INC,N110,CON,CONTRACT FLEET,Trucklo
RM1150466,X,ALLIANCE TRUCKING INC,U536,CON,CONTRACT FLEET,Trucklo
RM1150525,X,ICEBOX LOGISTICS LLC,M046,CON,CONTRACT FLEET,Trucklo
RM1150589,X,MARGOT TRANSPORT LLC,U759,CON,CONTRACT FLEET,Trucklo
RM1150593,X,CONSTANT TRUCKING LLC,M106,CON,CONTRACT FLEET,Trucklo
RM1150599,A,FHLINES LLC,U308,CON,CONTRACT FLEET,Trucklo
RM1150616,X,KOCHANI TRUCKING INC,M015,CON,CONTRACT FLEET,Trucklo
RM1150643,X,JVO LLC,N151,CON,CONTRACT FLEET,Trucklo
RM1150667,X,JONI S COMPANY S A INC,U195,CON,CONTRACT FLEET,Trucklo
RM1150682,X,FAST DELIVERY EXPRESS-INC.,5851,CON,CONTRACT FLEET,Trucklo
RM1150886,X,FALCON EXPRESS,M564,CON,CONTRACT FLEET,Trucklo
RM115129,X,MOUNTAINMOVERS TRUCKING- LTD.,MMVG,CON,CONTRACT FLEET,Trucklo
RM1151607,A,MAGRETA TRUCKING INC,0071,CON,CONTRACT FLEET,Trucklo
RM1151685,A,UFC LOGISTICS INC,7804,CON,CONTRACT FLEET,Trucklo
RM1151698,X,MEZA TRANSPORT,U196,CON,CONTRACT FLEET,Trucklo
RM1151768,X,NATIONWIDE SECURE TRUCKING LLC,M880,CON,CONTRACT FLEET,Trucklo
RM1151774,X,CAPITAL LANE LLC,V451,CON,CONTRACT FLEET,Trucklo
RM1151796,A,DS EXPRESS LLC,A911,CON,CONTRACT FLEET,Trucklo
RM1151800,A,LIFE ON THE ROAD TRANSPORTATIO,A292,CON,CONTRACT FLEET,Trucklo
RM1152112,X,MGA TRANSPORT LLC,V006,CON,CONTRACT FLEET,Trucklo
RM1152140,X,ALLY RECOVERY AND TRANSPORT LL,V102,CON,CONTRACT FLEET,Trucklo
RM115274,A,HUSTLE-LAS TRUCKING,0748,CON,CONTRACT FLEET,Trucklo
RM1152877,A,ROMEO TRANS INC,7329,CON,CONTRACT FLEET,Trucklo
RM1152910,X,UNITED CARRIERS INC,V566,CON,CONTRACT FLEET,Trucklo
RM1152921,A,TOTAL DOMINATION INC,M522,CON,CONTRACT FLEET,Trucklo
RM1152945,X,GARRIQUES DELIVERY SERVICE- LL,M562,CON,CONTRACT FLEET,Trucklo
RM1152978,A,LAZAR EXPRESS- INC.,U338,CON,CONTRACT FLEET,Trucklo
RM1153009,X,HBEES TRANSPORT,V395,CON,CONTRACT FLEET,Trucklo
RM115358,X,BECK II FARMS- INC.,3415,CON,CONTRACT FLEET,Trucklo
RM1153965,X,CLIFFORD MC TRUCKING LLC,U069,CON,CONTRACT FLEET,Trucklo
RM1154,X,ALCO TRANSPORTATION- INC.,ALOT,CON,CONTRACT FLEET,Trucklo
RM1154026,X,WWW.FREELOADQUOTE.COM LLC,U588,CON,CONTRACT FLEET,Trucklo
RM1154028,X,HNL TRUCK LINES INC,M804,CON,CONTRACT FLEET,Trucklo
RM1154087,X,MASON LIBERTY TRUCKING INC,N450,CON,CONTRACT FLEET,Trucklo
RM1154088,X,NUMERO YKSI TRANSPORT LLC,U936,CON,CONTRACT FLEET,Trucklo
RM1154101,X,D and T EXPRESS LLC,S302,CON,CONTRACT FLEET,Trucklo
RM1154102,X,NDL TRANSPORT INC,7158,CON,CONTRACT FLEET,Trucklo
RM1154139,X,RD TRANSPORTS,M991,CON,CONTRACT FLEET,Trucklo
RM1154161,X,PRIDE LINE CARRIER INC,U342,CON,CONTRACT FLEET,Trucklo
RM1154189,X,HAVANA WAY TRANSPORT INC,U296,CON,CONTRACT FLEET,Trucklo
RM1154210,A,TRIPLE R TRANSPORT,7394,CON,CONTRACT FLEET,Trucklo
RM1154841,X,EASTON FREIGHT CORPORATION,V080,CON,CONTRACT FLEET,Trucklo
RM1154892,X,APM EXPRESS LLC,N500,CON,CONTRACT FLEET,Trucklo
RM1154914,X,APA TRANS LLC,M142,CON,CONTRACT FLEET,Trucklo
RM1154917,X,FCTK TRANSPORT LLC,M532,CON,CONTRACT FLEET,Trucklo
RM1154921,A,GOLDEN ROADWAYS INC,C170,CON,CONTRACT FLEET,Trucklo
RM1154961,X,SINISTER EXPRESS INC,S425,CON,CONTRACT FLEET,Trucklo
RM1154969,X,HA TRANSPORT,1579,CON,CONTRACT FLEET,Trucklo
RM1154987,A,GARZEN TRANSPORT LLC,0699,CON,CONTRACT FLEET,Trucklo
RM1155182,X,DD and G TRUCKING SERVICES COR,U683,CON,CONTRACT FLEET,Trucklo
RM1155288,X,DYNAMIC EXPRESS LLC,M161,CON,CONTRACT FLEET,Trucklo
RM1155440,X,USA EXPRESS LLC,V136,CON,CONTRACT FLEET,Trucklo
RM115573,X,ALEX TRUCKING,U023,CON,CONTRACT FLEET,Trucklo
RM1156302,X,BOYER TRANSPORTATION SERVICES,S298,CON,CONTRACT FLEET,Trucklo
RM11564,A,KIRKSEY TRUCKING- INC.,KRKY,CON,CONTRACT FLEET,Trucklo
RM1156718,A,MINT EXPRESS INC,M900,CON,CONTRACT FLEET,Trucklo
RM1157338,X,UTRANS LOGISTICS LLC,U573,CON,CONTRACT FLEET,Trucklo
RM1157365,X,SEA SUNSETS TRANSPORT CORP,7998,CON,CONTRACT FLEET,Trucklo
RM1157438,X,ARROW TRANSPORTATION INC,S831,CON,CONTRACT FLEET,Trucklo
RM1157477,X,INNOVATIVE 84 INC,M459,CON,CONTRACT FLEET,Trucklo
RM1157542,X,J A G EXPRESS,S380,CON,CONTRACT FLEET,Trucklo
RM1158160,A,MERCY and GRACE LLC,B218,CON,CONTRACT FLEET,Trucklo
RM1158169,X,SG COMPANY,M119,CON,CONTRACT FLEET,Trucklo
RM1158355,X,GOLDSTAR EXPRESS LLC,N714,CON,CONTRACT FLEET,Trucklo
RM115836,X,INFINITI XPRESS INC,IXIC,CON,CONTRACT FLEET,Trucklo
RM1158659,X,ABV CARRIERS CORPORATION,U086,CON,CONTRACT FLEET,Trucklo
RM1158667,X,NLN TRUCKING LLC,V311,CON,CONTRACT FLEET,Trucklo
RM1158690,X,LKC TRUCKING,M239,CON,CONTRACT FLEET,Trucklo
RM1159137,X,VALERY TRUCKING LV LLC,V358,CON,CONTRACT FLEET,Trucklo
RM1159229,X,WINCHESTER TRANSPORT LLC,S258,CON,CONTRACT FLEET,Trucklo
RM1159505,A,EXPO TRUCKING INCORPORATED,S618,CON,CONTRACT FLEET,Trucklo
RM1159517,A,ANM TRANSPORT LLC,B638,CON,CONTRACT FLEET,Trucklo
RM1159535,X,DM TRUCKING LLC,S227,CON,CONTRACT FLEET,Trucklo
RM1159551,X,SALI INC,M996,CON,CONTRACT FLEET,Trucklo
RM1159849,X,HUB2HOME LLC,U633,CON,CONTRACT FLEET,Trucklo
RM1160020,X,DNA TRUCKING CO.,M252,CON,CONTRACT FLEET,Trucklo
RM1160209,X,BANANA LOGISTICS LLC,0445,CON,CONTRACT FLEET,Trucklo
RM1160380,X,HSZ TRANSPORT LLC,M530,CON,CONTRACT FLEET,Trucklo
RM1160384,A,DT and T LOGISTICS INC,M264,CON,CONTRACT FLEET,Trucklo
RM1160858,X,BTW TRANSPORT INC,M476,CON,CONTRACT FLEET,Trucklo
RM116109,A,KINGDOM TRUCK LINES- INC.,K726,CON,CONTRACT FLEET,Trucklo
RM1161096,X,NIGHT WOLF EXPRESS- INC,N580,CON,CONTRACT FLEET,Trucklo
RM1161121,X,IF GROUP INC,M208,CON,CONTRACT FLEET,Trucklo
RM1161125,X,TTM TRANSPORT LLC,M316,CON,CONTRACT FLEET,Trucklo
RM1161141,X,BLEDSOE ENTERPRISE LLC,M144,CON,CONTRACT FLEET,Trucklo
RM1161197,X,KINOS TRANSPORT LLC,M231,CON,CONTRACT FLEET,Trucklo
RM1161213,A,FIREBIRD TRUCKING INC,0705,CON,CONTRACT FLEET,Trucklo
RM1161253,A,D BRYANT TRUCKING LLC,0482,CON,CONTRACT FLEET,Trucklo
RM1161645,X,S AND S TRUCKING LLC,N368,CON,CONTRACT FLEET,Trucklo
RM1161695,X,JH EXPRESS LLC,M758,CON,CONTRACT FLEET,Trucklo
RM1161704,X,ZAVA TRANS INC,N562,CON,CONTRACT FLEET,Trucklo
RM1161705,A,PRO ZONE EXPRESS INC,0837,CON,CONTRACT FLEET,Trucklo
RM1161761,X,AIM TRANSPORT CORP,M675,CON,CONTRACT FLEET,Trucklo
RM1161768,X,FINISH LINE DELIVERY SERVICES,N317,CON,CONTRACT FLEET,Trucklo
RM116196,X,J.A. TRANSPORT- INC.,J834,CON,CONTRACT FLEET,Trucklo
RM1162081,X,D2 EXPRESS INC,0736,CON,CONTRACT FLEET,Trucklo
RM1162849,X,BAHIA G TRUCKING INC,0050,CON,CONTRACT FLEET,Trucklo
RM116316,X,FAST FREIGHT INC,N743,CON,CONTRACT FLEET,Trucklo
RM1163184,A,AR TRANSPORT SERVICES INC,1999,CON,CONTRACT FLEET,Trucklo
RM1163190,A,EMMANUEL S.M TRUCKING LLC,2468,CON,CONTRACT FLEET,Trucklo
RM1163514,X,FREEDOM TRANSPORT LLC,U798,CON,CONTRACT FLEET,Trucklo
RM1163563,A,BULLSEYE COMPANY INC,M460,CON,CONTRACT FLEET,Trucklo
RM1163588,A,ROMKOR LTD,N172,CON,CONTRACT FLEET,Trucklo
RM1163594,X,BLADE TRANSPORTATION LLC,M679,CON,CONTRACT FLEET,Trucklo
RM1163598,A,BAJWA and SONS TRANSPORTATION,0827,CON,CONTRACT FLEET,Trucklo
RM1163604,X,DANIZ TRANSPORT LLC,N547,CON,CONTRACT FLEET,Trucklo
RM1163608,X,AYEROU EXPRESS TRUCKING,U860,CON,CONTRACT FLEET,Trucklo
RM1163615,X,VUMA TRANSPORTATION INC,A836,CON,CONTRACT FLEET,Trucklo
RM1163627,A,RAFTAR TRANSPORT INC,M684,CON,CONTRACT FLEET,Trucklo
RM1163646,A,JIN TRANSPORTATION INC,B956,CON,CONTRACT FLEET,Trucklo
RM1163653,X,EAST 2 WEST LLC,ETWS,CON,CONTRACT FLEET,Trucklo
RM1163674,X,VELPEZ TRANSPORT- INC.,N413,CON,CONTRACT FLEET,Trucklo
RM1163714,X,RECON USMC INC,M393,CON,CONTRACT FLEET,Trucklo
RM1163800,X,YO TRANSPORT INC,N035,CON,CONTRACT FLEET,Trucklo
RM116420,X,RODRIGUEZ TRANSPORT,S137,CON,CONTRACT FLEET,Trucklo
RM1164424,X,LAKES INC.,M923,CON,CONTRACT FLEET,Trucklo
RM1164440,A,NAHAUL- INC.,M456,CON,CONTRACT FLEET,Trucklo
RM1164586,X,AMK TRANS INC,M307,CON,CONTRACT FLEET,Trucklo
RM1164610,X,ALATORRE TRANSPORT INC,M473,CON,CONTRACT FLEET,Trucklo
RM1164677,A,MIKE SHINGARA TRUCKING,7510,CON,CONTRACT FLEET,Trucklo
RM1164687,X,LONESTAR EXPEDITED LLC,N634,CON,CONTRACT FLEET,Trucklo
RM1164692,A,ROCK TRANSPORT,N167,CON,CONTRACT FLEET,Trucklo
RM1164798,A,ADND EXPRESS INC,0191,CON,CONTRACT FLEET,Trucklo
RM1165426,X,T AND A TRUCKING,N369,CON,CONTRACT FLEET,Trucklo
RM1165644,X,K AND M EXPRESS LLC,N020,CON,CONTRACT FLEET,Trucklo
RM1165879,X,SOUNDSTAGE- LLC,U191,CON,CONTRACT FLEET,Trucklo
RM1165891,X,ON THE WAY LLC,M840,CON,CONTRACT FLEET,Trucklo
RM1165894,A,EPHRATA TRANSPORTATION LLC,N278,CON,CONTRACT FLEET,Trucklo
RM1165904,X,RED CITY TRANSPORT LLC,M988,CON,CONTRACT FLEET,Trucklo
RM1165946,A,JNS TRUCKING LLC,2511,CON,CONTRACT FLEET,Trucklo
RM1165959,X,EAGLE MOUNTAIN TRUCKING LLC,U505,CON,CONTRACT FLEET,Trucklo
RM1166603,X,ZT EXPRESS LLC,7941,CON,CONTRACT FLEET,Trucklo
RM1166877,X,PENNY SAVER TRANSPORT LLC,S081,CON,CONTRACT FLEET,Trucklo
RM116693,A,TEXAS M A TRANSPORT LLC,L149,CON,CONTRACT FLEET,Trucklo
RM1166938,X,RX3 LLC,M365,CON,CONTRACT FLEET,Trucklo
