Carrier Code,Status,Name,Scac,Carrier Type,Type Description,Type Group
ACEH,A,ACE DORAN HAULING and RIGGING,ACEH,BRO,BROKER,Trucklo
ACEI,X,ACE LOGISTICS- INC.,ACEI,CON,CONTRACT FLEET,Trucklo
ACHR,A,AC TRUCKING LLC,7613,CON,CONTRACT FLEET,Trucklo
ACIK,X,AMERICARRIER- INC.,ACIK,CON,CONTRACT FLEET,Trucklo
ACIL,X,AMERICAN and CARRIER- INC,ACIL,CON,CONTRACT FLEET,Trucklo
ACJF,X,AIR CONTAINER TRANSFER,ACJF,CON,CONTRACT FLEET,Trucklo
ACKG,A,A. C. TRUCKING- INC.,SCAG,CON,CONTRACT FLEET,Trucklo
ACLV,A,ACME  LOGISTICS-   INC.,ACLV,CON,CONTRACT FLEET,Trucklo
ACMW,A,ACME TRANSPORTATION COMPANY,ACMW,CON,CONTRACT FLEET,Trucklo
ACNP,X,ACTION XPRESS,ACNP,CON,CONTRACT FLEET,Trucklo
ACOP,X,ACC TRANSPORT LLC,ACOP,CON,CONTRACT FLEET,Trucklo
ACRB,X,AMERICAN CARRIERS- INC.,ACRB,CON,CONTRACT FLEET,Trucklo
ACVN,X,ACV TRANSPORT LLC,B308,CON,CONTRACT FLEET,Trucklo
ACXQ,X,ACCURATE EXPEDITING INC.,ACXQ,CON,CONTRACT FLEET,Trucklo
ACYI,X,ACE CITY INC,ACYI,CON,CONTRACT FLEET,Trucklo
ACZF,X,AMERICAN CONTRACT FREIGHT INC,ACZF,CON,CONTRACT FLEET,Trucklo
ACZQ,X,ACR LOGISTICS INC,ACZQ,CON,CONTRACT FLEET,Trucklo
ADAY,A,ADVANTAGE EXPRESS INC,ADAY,CON,CONTRACT FLEET,Trucklo
ADDD,X,A D D TRUCKING- INC,ADDD,CON,CONTRACT FLEET,Trucklo
ADEC,A,ADEX INC,6995,CON,CONTRACT FLEET,Trucklo
ADEK,A,A DIVINE SHINE LLC,ADEK,CON,CONTRACT FLEET,Trucklo
ADEW,X,ANDREY S DELIVERY EXPRESS LLC,ADEW,CON,CONTRACT FLEET,Trucklo
ADFE,A,ALTENDORF EXPRESS- INC.,ADFE,CON,CONTRACT FLEET,Trucklo
ADGG,A,ADVANTAGE TRUCKING LLC,ADGG,CON,CONTRACT FLEET,Trucklo
ADIG,A,ALDEN LOGISTICS LLC,C239,CON,CONTRACT FLEET,Trucklo
ADJE,A,A and D TRUCKING LLC,B533,CON,CONTRACT FLEET,Trucklo
ADJM,A,AMERICAN DREAM LOGISTICS INC,4154,CON,CONTRACT FLEET,Trucklo
ADKR,X,ANDIS TRUCKING SERVICE INC.,ADKR,CON,CONTRACT FLEET,Trucklo
ADMN,A,ADMIN TRANSPORT INC,ADMN,CON,CONTRACT FLEET,Trucklo
ADNS,X,DOUG ANDRUS DISTRIBUTING LLC,ADNS,CON,CONTRACT FLEET,Trucklo
ADOP,X,ADONIS TRANSPORT INC,A025,CON,CONTRACT FLEET,Trucklo
ADOW,X,A and D CARGO TRANSPORT INC,ADOW,CON,CONTRACT FLEET,Trucklo
ADPW,X,AMERICAN ROAD TRANSPORTATION L,ADPW,CON,CONTRACT FLEET,Trucklo
ADQI,A,A and D CARRIER INC,ADQI,CON,CONTRACT FLEET,Trucklo
ADSI,A,ADAMS TRANSIT- INC.,ADSI,BRO,BROKER,Trucklo
ADSJ,X,AVERITT EXPRESS- INC.,ADSJ,CON,CONTRACT FLEET,Trucklo
ADTL,X,ALL DAYS TRANSPORT LTD,ADTL,CON,CONTRACT FLEET,Trucklo
ADUE,X,ADVANCE DISTRIBUTION INC.,ADUE,CON,CONTRACT FLEET,Trucklo
ADVV,X,ANDERSON DELIVERY SVCS LLC,ADVV,CON,CONTRACT FLEET,Trucklo
ADWF,A,ARDWIN FREIGHT,ADWF,CON,CONTRACT FLEET,Trucklo
ADWH,A,ADOLLA TRANS INC,ADWH,CON,CONTRACT FLEET,Trucklo
ADXW,X,ALL ROADS TRANSPORTATION LLC,ADXW,CON,CONTRACT FLEET,Trucklo
ADYE,A,ADIYE TRANSPORT LLC,ADYE,CON,CONTRACT FLEET,Trucklo
ADYG,X,APES DELIVERY SERVICE INC,ADYG,CON,CONTRACT FLEET,Trucklo
AEAB,A,ADAWN EXPRESS- INC.,AEAB,CON,CONTRACT FLEET,Trucklo
AEAN,A,AELITA INC,AEAN,CON,CONTRACT FLEET,Trucklo
AEBI,X,AEBK ENTERPRISES LLC,AEBI,CON,CONTRACT FLEET,Trucklo
AEDN,X,AED INC,AEDN,CON,CONTRACT FLEET,Trucklo
AEEV,X,AMERICAN TRANSPORTATION LLC,7559,CON,CONTRACT FLEET,Trucklo
AEFM,A,AMERICAN EXPRESS FREIGHT INC,AEFM,CON,CONTRACT FLEET,Trucklo
AEHR,A,AMERICAN ROAD CARRIER TRANSPOR,AEHR,CON,CONTRACT FLEET,Trucklo
AEIY,X,AKSHAY ENTERPRISES INC.,AEIY,CON,CONTRACT FLEET,Trucklo
AEKD,X,A and E TRUCKING LLC.,AEKD,CON,CONTRACT FLEET,Trucklo
AEKG,X,AMERICA S TRUCKING LOGISTICS-,AEKG,CON,CONTRACT FLEET,Trucklo
AEKN,A,AET TRUCKING INC,AEKN,CON,CONTRACT FLEET,Trucklo
AENE,A,ALMANZAR ENTERPRISES NATIONAL,AENE,CON,CONTRACT FLEET,Trucklo
AENF,A,ARFSTEN TRANSFER- INC.,AENF,CON,CONTRACT FLEET,Trucklo
AENO,X,ALL SEASON TRANSPORT LLC,AENO,CON,CONTRACT FLEET,Trucklo
AEPF,X,ADIN S EXPEDITING LLC,AEPF,CON,CONTRACT FLEET,Trucklo
AEPM,A,ARIES EXPRESS LLC,AEPM,CON,CONTRACT FLEET,Trucklo
AEQG,X,AE LOGISTICS INC,AEQG,CON,CONTRACT FLEET,Trucklo
AERM,X,AERO MAYFLOWER TRANSIT COMPANY,AERM,CON,CONTRACT FLEET,Trucklo
AESB,A,ALL STATE ENTERPRISE INC,AESB,CON,CONTRACT FLEET,Trucklo
AESE,X,ALENA EXPEDITED SERVICES LLC,AESE,CON,CONTRACT FLEET,Trucklo
AESL,X,AUTO EXPRESS SALDIVAR- LLC,AESL,CON,CONTRACT FLEET,Trucklo
AESR,X,AES TRANSPORTATION- INC.,AESR,CON,CONTRACT FLEET,Trucklo
AETG,A,ATLANTIC EXPRESS TRUCKING CORP,AETG,CON,CONTRACT FLEET,Trucklo
AETV,X,AMIN EXPRESS and TRANS LLC,A884,CON,CONTRACT FLEET,Trucklo
AEZI,X,A B C EXPRESS- INC.,AEZI,CON,CONTRACT FLEET,Trucklo
AFBC,X,AFI TRANSPORT INC,AFBC,CON,CONTRACT FLEET,Trucklo
AFCN,X,AMERICAN FREIGHT CORPORATION,AFCN,CON,CONTRACT FLEET,Trucklo
AFCO,X,A and F TRANSPORT CO,AFCO,CON,CONTRACT FLEET,Trucklo
AFCY,A,A FIRST CLASS SOLUTION LLC,T297,BRO,BROKER,Trucklo
AFDN,X,ADDISON TRANSPORTATION,AFDN,BRO,BROKER,Trucklo
AFEY,X,ALL 48 STATES INC,AFEY,CON,CONTRACT FLEET,Trucklo
AFFHLTL,A,AMERICAN FAST FREIGHT- INC.,AFFH,LTL,LESS THAN TRUCK LOAD,
AFGL,A,AIRBORNE FREIGHT LINES INC,AFGL,CON,CONTRACT FLEET,Trucklo
AFGM,A,AMERI FREIGHT SYSTEMS LLC,AFGM,CON,CONTRACT FLEET,Trucklo
AFGY,A,BADGER STATE FREIGHT- INC.,AFGY,CON,CONTRACT FLEET,Trucklo
AFHY,X,ALLIANCE FREIGHT SYSTEMS- INC.,AFHY,CON,CONTRACT FLEET,Trucklo
AFJV,A,ANT FREIGHT AND LOGISTICS INC,B955,CON,CONTRACT FLEET,Trucklo
AFOT,X,AMERICAN FIRST LOGISTICS LLC,AFOT,CON,CONTRACT FLEET,Trucklo
AFQG,A,AFS LOGISTICS INC,A774,CON,CONTRACT FLEET,Trucklo
AFRH,A,AMERICA FREIGHT- INC,AFRH,CON,CONTRACT FLEET,Trucklo
AFTH,X,AFS INTERMODAL,AFTH,CON,CONTRACT FLEET,Trucklo
AFTO,A,ALLSTATE FREIGHT TRANSPORT INC,AFTO,CON,CONTRACT FLEET,Trucklo
AFUN,X,AMERICAN FREIGHT TRUCKING- INC,AFUN,CON,CONTRACT FLEET,Trucklo
AFVA,A,AF SERVICES,AFVA,CON,CONTRACT FLEET,Trucklo
AFWI,A,ACE FREIGHTWAYS INC,AFWI,CON,CONTRACT FLEET,Trucklo
AFWY,A,AMERICAN FREIGHTWAYS,AFWY,CON,CONTRACT FLEET,Trucklo
AFXM,X,ARCTIC FOX LOGISTICS LTD,AFXM,CON,CONTRACT FLEET,Trucklo
